 (New), (Mới),
01/04/24 11:30 PM,01/04/24 11:30 PM,
<p>Dear {{ lead_name }},</p>||||||<p>This is a reminder for the payment of {{ grand_total }}.</p>||||||<p>Thanks,</p>|||<p>Frappé</p>,<p>Kính gửi {{ lead_name }},</p>||||||<p>Đây là lời nhắc nhở về việc thanh toán {{ grand_total }}.</p>||||||<p>Cảm ơn,</p>|||<p>Frappé</p>,
@John, can you please check this?,@John, bạn có thể kiểm tra lại được không?,
Accept,Chấp nhận,
Accept Invitation,Chấp nhận lời mời,
Accepted At,Được chấp nhận tại,
Add Field,Thêm trường,
Add Filter,Thêm bộ lọc,
Add Row,Thêm hàng,
Add Section,Thêm phần,
Add Sort,Thêm sắp xếp,
Add Tab,Thêm Tab,
Add column,Thêm cột,
Add description...,Thêm mô tả...,
Add filter,Thêm bộ lọc,
Add note,Thêm ghi chú,
Add svg code or use feather icons e.g 'settings',Thêm mã SVG hoặc sử dụng Feather Icons, ví dụ: 'cài đặt',
Add task,Thêm công việc,
Agent is unavailable to take the call, please call after some time.,Người hỗ trợ không thể nghe điện thoại, vui lòng gọi lại sau.,
An image with 1:1 & 2:1 ratio is preferred,Hình ảnh có tỷ lệ 1:1 và 2:1 được ưu tiên,
And,Và,
Annual Revenue should be a number,Doanh thu hàng năm phải có định dạng số,
Appears in the left sidebar. Recommended size is 32x32 px in PNG or SVG,Xuất hiện ở thanh bên trái. Kích thước khuyến nghị là 32x32 px ở định dạng PNG hoặc SVG,
Appears next to the title in your browser tab. Recommended size is 32x32 px in PNG or ICO,Xuất hiện bên cạnh tiêu đề trong tab trình duyệt của bạn. Kích thước khuyến nghị là 32x32 px ở định dạng PNG hoặc ICO,
Apply,Áp dụng,
Apps,Ứng dụng,
Are you sure you want to clear assignment for {0} item(s)?,Bạn có chắc chắn muốn xóa nhiệm vụ cho {0} mục không?,
Are you sure you want to convert {0} Lead(s) to Deal(s)?,Bạn có chắc chắn muốn chuyển đổi {0} Lead thành Deal không?,
Are you sure you want to delete "{0}" view?,Bạn có chắc chắn muốn xóa chế độ xem "{0}" không?,
Are you sure you want to delete this attachment?,Bạn có chắc chắn muốn xóa tệp đính kèm này không?,
Are you sure you want to delete this contact?,Bạn có chắc muốn xóa liên hệ này không?,
Are you sure you want to delete this organization?,Bạn có chắc muốn xóa tổ chức này không?,
Are you sure you want to delete this task?,Bạn có chắc chắn muốn xóa công việc này không?,
Are you sure you want to delete {0} item(s)?,Bạn có chắc chắn muốn xóa {0} mục không?,
Are you sure you want to login to your Frappe Cloud dashboard?,Bạn có chắc chắn muốn đăng nhập vào bảng điều khiển Frappe Cloud không?,
Are you sure you want to make this attachment {0}?,Bạn có chắc chắn muốn đính kèm tệp này {0} không?,
Are you sure you want to reset 'Create Quotation from CRM Deal' Form Script?,Bạn có chắc chắn muốn đặt lại Form Script 'Tạo báo giá từ CRM Deal' không?,
Assign to,Giao cho ,
Assignment cleared successfully,Xóa người phụ trách thành công,
At least one field is required,Cần có ít nhất một trường,
Attach a file,Đính kèm tệp,
Auth Token,Mã xác thực,
BCC,BCC,
Back,Quay lại,
Back to file upload,Quay lại tải tệp,
Backlog,Chờ xử lý,
Branding,Xây dựng thương hiệu,
Bulk Edit,Chỉnh sửa hàng loạt,
CC,CC,
CRM Call Log,CRM Nhật ký cuộc gọi,
CRM Communication Status,CRM Trạng thái liên hệ,
CRM Contacts,CRM Danh bạ,
CRM Deal,CRM Deal,
CRM Deal Status,CRM Trạng thái Deal,
CRM Dropdown Item,CRM Mục thả xuống,
CRM Exotel Settings,CRM Cài đặt Exotel,
CRM Fields Layout,CRM Bố cục trường dữ liệu,
CRM Form Script,CRM Form Script,
CRM Global Settings,CRM Cài đặt chung,
CRM Holiday,CRM Ngày nghỉ lễ,
CRM Holiday List,CRM Danh sách nghỉ lễ,
CRM Industry,CRM Lĩnh vực,
CRM Invitation,CRM Thư mời,
CRM Lead,CRM Lead,
CRM Lead Source,CRM Nguồn Lead ,
CRM Lead Status,CRM Trạng thái Lead,
CRM Notification,CRM Thông báo,
CRM Organization,CRM Tổ chức,
CRM Service Day,CRM Ngày dịch vụ,
CRM Service Level Agreement,CRM Thỏa thuận mức độ dịch vụ ,
CRM Service Level Priority,CRM Ưu tiên mức độ dịch vụ ,
CRM Status Change Log,CRM Lịch sử thay đổi trạng thái ,
CRM Task,CRM Task,
CRM Telephony Agent,CRM Telephony Agent,
CRM Telephony Phone,CRM Telephony Phone,
CRM Territory,CRM Khu vực,
CRM Twilio Settings,CRM Cài đặt Twilio,
CRM View Settings,CRM Cài đặt chế độ xem,
CRM-DEAL-.YYYY.-,CRM-DEAL-.YYYY.-,
CSV,CSV,
Call Received By,Nghe máy bởi,
Call duration in seconds,Thời lượng cuộc gọi tính bằng giây,
Call using {0},Gọi bằng {0},
Call with John Doe,Gọi với John Doe,
Caller,Người gọi,
Calling Medium,Phương tiện gọi,
Calling...,Đang gọi...,
Cannot delete standard items {0},Không thể xóa các mục tiêu chuẩn {0},
Capture,Lưu trữ,
Change Status,Thay đổi trạng thái,
Change image,Thay đổi hình ảnh,
Choose Existing,Chọn từ thông tin hiện có,
Choose Existing Contact,Chọn Liên hệ đã có,
Choose Existing Organization,Chọn Tổ chức đã có,
Clear Assignment,Xóa người phụ trách,
Clear Sort,Xóa sắp xếp,
Clear all Filter,Xóa tất cả bộ lọc,
Close Date,Ngày chốt,
Column,Cột,
Column Field,Trường cột,
Communication Status,Trạng thái liên hệ,
Company in ERPNext Site,Công ty trong trang ERPNext,
Contact Already Exists,Liên hệ đã tồn tại,
Contact added,Đã thêm liên hệ,
Contact already added,Liên hệ đã được thêm,
Contact already exists with {0},Liên hệ đã tồn tại với {0},
Contact not found,Không tìm thấy liên hệ,
Contact removed,Đã xóa liên hệ,
Contacts,Liên hệ,
Convert,Chuyển đổi,
Convert to Deal,Chuyển đổi thành Deal,
Converted successfully,Chuyển đổi thành công,
Create Deal,Tạo Deal,
Create Email Template,Tạo mẫu Email,
Create Note,Tạo ghi chú,
Create Task,Tạo công việc,
Create View,Tạo chế độ xem,
Create customer on status change,Tạo khách hàng khi trạng thái thay đổi,
Create lead,Tạo Lead,
Customer created successfully,Khách hàng đã được tạo thành công,
Customize quick filters,Tùy chỉnh bộ lọc nhanh,
Data Fields,Trường dữ liệu,
Deal,Deal,
Deal Status,Deal Trạng thái,
Deal owner,Người phụ trách Deal,
Deal updated,Đã cập nhật Deal,
Deals,Deal,
Dear {{ lead_name }}, ||||||This is a reminder for the payment of {{ grand_total }}. ||||||Thanks, |||Frappé,Kính gửi {{ lead_name }}, ||||||Đây là lời nhắc nhở về việc thanh toán {{ grand_total }}. ||||||Cảm ơn, |||Frappé,
Default Medium,Phương tiện mặc định,
Default Service Level Agreement already exists for {0},Thỏa thuận mức độ dịch vụ mặc định đã tồn tại cho {0},
